local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_x,delta_y,delta_z,delta_len,bone_idx,bone_wt,extra0_hex,extra1_hex,uv1_raw,pac_raw40_hex,runtime_raw40_hex
20,19874,66096,-0.064952588,1.743020951,-1.787480670,0.163034738,1.269174924,-2.925372569,0.227987326,-0.473846027,-1.137891899,1.253517551,"(97, 112, 113, 6)","(135, 67, 48, 3)",5d44c206,01000000,3369998406,25381b392e410c5a95a59c79617071065d44c2068743300301000000fffffffffc42223e4618dec8,544bbd1a311990017135b53ba848fb590102377a0694800000000000ab54000000000000fffffcff
21,19875,66097,-0.064534773,1.740339034,-1.727457067,0.160992090,1.306843672,-2.872462874,0.225526864,-0.433495362,-1.145005807,1.244917223,"(103, 112, 17, 6)","(101, 86, 64, 2)",6244d205,01000000,2995722682,2e38ef384a43f759d7642e6d677011066244d2056556400201000000ffffffffed3f6240ba198fb2,284b271d0d1b78011035be3b9a48e459d38d367a0694800000000000af50000000000000fffffcff
22,19876,66098,-0.065509673,1.737779022,-1.869957547,0.160713548,1.316778956,-2.857790438,0.226223221,-0.421000065,-0.987832891,1.097374968,"(103, 112, 33, 6)","(188, 38, 12, 11)",61448200,03030000,3353482679,1938c538483ee359d7a95d366770210661448200bc260c0b03030000ffffffff7740773bb715e2c7,224bca1d911b7802f534bf3b9848dd59ec51b6770694800000000000aa55000000000000fffffcff
23,19877,66099,-0.065277554,1.744727626,-1.828052180,0.138244424,1.209624169,-3.017408760,0.203521978,-0.535103457,-1.189356580,1.319971962,"(97, 112, 113, 6)","(171, 42, 24, 12)",5db01109,03020000,3293648054,1e383739c13f1a5adf6cbb76617071065db01109ab2a180c03020000ffffffff3c44f137b61451c4,3e49ec16f515d0022436b43be647245ad085967d0694000000000000906f000000000000fffffdff
24,19878,66100,-0.062956364,1.747104780,-1.693221382,0.202634247,1.409366056,-2.732074336,0.265590611,-0.337738723,-1.038852953,1.124198059,"(93, 132, 193, 6)","(109, 95, 41, 7)",5c787106,02010000,3395950257,50385e397e442a5ae680f9795d84c1065c7871066d5f290702010000ffffffff9642033bb1166aca,a94eb923fc1fd0fffd33b33bc949a559e195877f0694800000000000906b040000000000fffffbff
25,19879,66101,-0.064116959,1.743630478,-1.742907587,0.213915233,1.409670819,-2.707175656,0.278032192,-0.333959658,-0.964268069,1.057659615,"(97, 112, 113, 6)","(142, 78, 22, 12)",5d44c206,01000000,3231913090,37382539bf420e5ada143e6e617071065d44c2068e4e160c01000000ffffffffea4090388214a3c0,9c4fbe23dc2098ffb333a83b1c4a9a59175ae83f06948000000000009068070000000000fffffbff
26,19880,66102,-0.064395502,1.747226685,-1.807377383,0.238751970,1.400649825,-2.655710974,0.303147472,-0.346576860,-0.848333591,0.965237686,"(97, 116, 193, 6)","(146, 59, 43, 5)",5c9c2109,02010000,3436189070,313860397b402c5aff88cd736174c1065c9c2109923b2b0502010000ffffffff2442483a8e15d0cc,b3512a23ab22c0ff2633923bd24a8359122a683f06948000000000008f60110000000000fffffcff
27,19881,66103,-0.064395502,1.745215247,-1.760025429,0.221946551,1.404611748,-2.683833143,0.286342053,-0.340603499,-0.923807714,1.025389296,"(97, 116, 193, 5)","(161, 41, 38, 9)",67b01109,05010000,3344176515,31383f3925421d5adbfcdd6d6174c10567b01109a129260905010000ffffffff4144ce38831554c7,49506b23ae2180ff7033a03b564a90590d06683f069480000000000090650a0000000000fffffcff
28,19882,66104,-0.063095635,1.745763821,-1.692887918,0.158670900,1.344939088,-2.826667088,0.221766535,-0.400824733,-1.133779170,1.222822992,"(97, 116, 193, 5)","(126, 91, 24, 10)",6c9ce105,03010000,3082097679,4d38483981441f5af6d4e87a6174c1056c9ce1057e5b180a03010000ffffffffa240ce390f14b5b7,f64a981fa91c6003ba34c63b8848cf59c2d9957906948000000000009c62000000000000fffffbff
29,19883,66105,-0.065138283,1.747592401,-1.818048246,0.158253086,1.354630562,-2.805769982,0.223391369,-0.392961839,-0.987721736,1.086239816,"(97, 176, 209, 5)","(159, 45, 44, 3)",5c9c2109,02010000,3391755954,213866391b40305ab6652e3361b0d1055c9c21099f2d2c0302010000ffffffff0c44343ab2162aca,ed4a3720651dc8049734ca3b8548c659bd99657a06948000000000009965010000000000fffffbff
30,19884,66106,-0.063374178,1.743874288,-1.696889491,0.161688447,1.255094858,-2.952272035,0.225062626,-0.488779430,-1.255382544,1.365849131,"(97, 112, 209, 5)","(130, 79, 33, 12)",67b01109,01000000,3414826409,473829395d440f5acbe8c8786170d10567b01109824f210c01000000ffffffffd9509d25a91d8acb,374bd6193f187802a135b23b9f48075ad685b67c0694800000000000a25d000000000000fffffdff
31,19885,66107,-0.042483464,1.747348590,-1.521931804,0.165866590,1.372916362,-2.782649779,0.208350054,-0.374432228,-1.260717975,1.331547615,"(114, 208, 193, 7)","(180, 43, 15, 7)",7938b207,07030000,3720617469,093a6239834ace598ac4af5872d0c1077938b207b42b0f0707030000fffffdff7d505924fd1dc4dd,914b6321351e28046a34c93bbd48bc59a57165790694800000000000936b010000000000fffffbff
32,19886,66108,-0.041647836,1.747836212,-1.525377603,0.072276191,1.138065739,-3.203815394,0.113924027,-0.609770473,-1.678437791,1.789399936,"(114, 208, 145, 7)","(135, 45, 43, 20)",7be8c107,06060000,3333954977,1b3a6a39644acb59e708dd0772d091077be8c107872d2b1406060000fffffdffda50c724a11db8c6,b1435612680fe01b6a378f3b2144795a5883887325180000000000009e61000000000000fffffdff
33,19887,66109,-0.042204921,1.747897164,-1.521820649,0.106815505,1.117341832,-3.162910420,0.149020427,-0.630555332,-1.641089771,1.764364688,"(114, 208, 145, 7)","(175, 45, 16, 9)",7bf0e108,08030000,3068335199,0f3a6b39844acf598df03f5e72d091077bf0e108af2d100908030000fffffdff834008395f14e3b6,99460211d81089b72837723b1a46665ac3bf3e5525180000000000008a75000000000000fffffeff
34,19888,66110,-0.064720469,1.747165732,-1.824606380,0.120185562,1.185060244,-3.158241918,0.184906031,-0.562105488,-1.333635538,1.459019043,"(97, 116, 193, 6)","(154, 51, 42, 4)",5c9c2109,02010000,3693878515,2a385f39e03f2d5a6939af2d6174c1065c9c21099a332a0402010000ffffffff6850fe22f31c2cdc,b947591502115814fd369a3bde46645a5c1b8b742518000000000000a857000000000000fffffdff
35,19889,66111,-0.042344193,1.749664792,-1.526044532,0.145254419,1.222424229,-3.001624776,0.187598612,-0.527240563,-1.475580244,1.578135896,"(114, 208, 145, 7)","(114, 45, 33, 32)",7bf4a107,17070000,3271105850,0c3a88395e4ada59c5286c0772d091077bf4a107722d212017070000fffffdffa55057243a1df9c2,d549be17831638030036b33b26481d5afe91567a0694000000000000936c000000000000fffffdff
36,19890,66112,-0.042437040,1.748567644,-1.523821436,0.152682229,1.236870011,-2.979060347,0.195119269,-0.511697633,-1.455238911,1.554871791,"(114, 208, 145, 7)","(168, 44, 16, 12)",7bf0d107,07060000,3615759162,0a3a7639724ad55983dc9f6272d091077bf0d107a82c100c07060000fffffdff4050dd203a1b84d7,754aab184e175803d535b23b5d48135af575967a06940000000000009a65000000000000fffffdff
37,19891,66113,-0.043411940,1.752407661,-1.527378390,0.135551843,1.154949627,-3.120449279,0.178963783,-0.597458034,-1.593070889,1.710806534,"(125, 200, 177, 7)","(87, 63, 49, 45)",74e8c107,07050000,3560184942,f539b539524af3599f2c8d0a7dc8b10774e8c107573f312d07050000fffffdff1450cb226e1c34d4,04496b135612ddb1d136823bbf47535adb17ef552518000000000000916e000000000000fffffeff
38,19892,66114,-0.042622736,1.750335271,-1.529156867,0.130305953,1.167079208,-3.147015281,0.172928688,-0.583256063,-1.617858414,1.728455326,"(114, 244, 65, 7)","(106, 58, 44, 27)",7be4a107,0d070000,3528203149,063a9339424ae15991d4fc0a72f441077be4a1076a3a2c1b0d070000fffffdff2f50be218d1b4cd2,934832146711bfc0f0368d3b72475f5af4f71e5d2518000000000000a758000000000000fffffdff
39,19893,66115,-0.043226245,1.751737182,-1.528045319,0.133277076,1.194264097,-3.131898225,0.176503322,-0.557473085,-1.603852906,1.707124427,"(125, 200, 65, 7)","(84, 80, 44, 35)",7bf0a107,06060000,3194625088,f939aa394c4aee598ae87d0d7dc841077bf0a10754502c2306060000fffffdff5f50e423401c6abe,d348f015ef11e811d6369d3b9d47585a19477b7a2518000000000000a659000000000000fffffdff
40,19894,66116,-0.043272669,1.749786697,-1.526489151,0.149896800,1.164702054,-3.076765434,0.193169469,-0.585084643,-1.550276283,1.668231110,"(114, 244, 65, 7)","(138, 45, 41, 13)",7bf09107,0d060000,3410762239,f8398a395a4ae25976fc4f2072f441077bf091078a2d290d0d060000fffffdff6c4f2120ff194ccb,394a0b14df136ab98a36823b48483f5ae1076f5825180000000000008778000000000000fffffeff
41,19895,66117,-0.044061874,1.753992431,-1.535270382,0.141261972,1.174027812,-3.127118568,0.185323845,-0.579964619,-1.591848186,1.704313508,"(125, 236, 65, 7)","(93, 73, 43, 34)",72f0a107,06050000,3312394439,e739cf390b4a035a63d4ee127dec410772f0a1075d492b2206050000fffffdff41464544c7206fc5,7f49a4141a121dbed0368f3b0948565af6cf2e5c2518000000000000a659000000000000fffffdff
42,19896,66118,-0.062724245,1.727173258,-1.654317195,0.107047624,1.160435367,-3.190699125,0.169771869,-0.566737890,-1.536381930,1.646354688,"(8, 136, 1, 6)","(246, 6, 2, 2)",68707106,00000000,3120898542,55381738dc457f5957dd197d0888010668707106f606020200000000ffffffffea3fcf46ee2105ba,9e46c513de0f88163137903b1e46735a7b570b712518000000000000ae51000000000000fffffdff
43,19897,66119,-0.065416826,1.724674198,-1.870735631,0.115914572,1.141600993,-3.181139811,0.181331398,-0.583073205,-1.310404180,1.445688263,"(8, 136, 129, 6)","(255, 0, 0, 0)",60000000,00000000,3335920080,1b38ee37413e6d5907fe0d350888810660000000ff00000000000000ffffffff6b4fa020d019d6c6,5d47901234104abf2a37843b9f466e5adee7fe592518000000000000a758000000000000fffffdff
44,19898,66120,-0.044433264,1.753870525,-1.535381537,0.056492096,1.102835098,-3.221600166,0.100925361,-0.651035428,-1.686218629,1.810349778,"(125, 236, 65, 7)","(98, 68, 42, 35)",72f0a107,08030000,2804228467,df39cd390a4a055a7de87f1b7dec410772f0a10762442a2308030000fffffdff6d410946732125a7,5d421410c80e68cd9b377b3b7542805ae78ffc5d2518000000000000a956000000000000fffffdff
45,19899,66121,-0.064906164,1.726137062,-1.787591825,0.432617796,1.099177938,-2.287232744,0.497523960,-0.626959125,-0.499640919,0.943530011,"(8, 136, 129, 6)","(255, 0, 0, 0)",609c0100,00000000,3122536729,263806382d417559ac469c3508888106609c0100ff00000000000000ffffffff4943014619211eba,0362d80f9e2fa5ac89322c3a2d4ef058f2c65c4708185000070000008670090000000000fffffdff
46,19900,66122,-0.064349078,1.726685636,-1.715896966,0.274962541,1.119779939,-2.655933283,0.339311619,-0.606905697,-0.940036318,1.169245560,"(8, 136, 129, 6)","(254, 0, 0, 0)",609cc105,00000000,3305054213,32380f38b243795922a65d3608888106609cc105fe00000000000000fffffffffe45ed430520ffc4,bf542a11a92283ba8634d53ada4b7f5982ff3e540614800025000000fb02020100000000ffffffff
47,19901,66123,-0.062863516,1.728331358,-1.659430317,0.256532289,1.095703636,-2.642261241,0.319395805,-0.632627723,-0.982830924,1.211688137,"(8, 136, 1, 6)","(241, 10, 2, 1)",689cc105,00000000,3368688494,52382a38ae458a597881297e08880106689cc105f10a020100000000fffffffffa42c5406e1bcac8,32539f0f24233da39b34c13a544b7859c67aac450614800025000000fa04010000000000ffffffff
48,19902,66124,-0.064302654,1.735462820,-1.727901686,0.289214651,1.110697992,-2.570899846,0.353517305,-0.624764829,-0.842998159,1.107226929,"(103, 136, 193, 5)","(129, 83, 30, 12)",08840109,01000000,3323272654,33389f384643cc59fcd85c746788c1050884010981531e0c01000000ffffffffde3fbe44ce1d15c6,f2559510a62539a44134a83a214c5a59ae8aab4306205000251c0000f108060000000000fffffeff
49,19903,66125,-0.065695369,1.731318039,-1.874403740,0.223432113,1.086682641,-2.810216174,0.289127482,-0.644635398,-0.935812435,1.172558915,"(8, 156, 33, 6)","(242, 6, 6, 1)",5c401209,01000000,3283491347,15385b38203ea75968259c79089c21065c401209f206060101000000fffffffffa413b3f131ab6c3,69500b0f3d1d85b15835013b624ac4598f5b4f540694500008000000fb03010000000000ffffffff
50,19904,66126,-0.064627621,1.737718069,-1.766472409,0.200080937,1.064556823,-2.886468381,0.264708559,-0.673161246,-1.119995972,1.333269538,"(103, 112, 33, 6)","(162, 63, 18, 10)",61201009,01010000,3015384161,2c38c438eb41e05927116b7a6770210661201009a23f120a01010000ffffffff5e3f3c43611cbbb3,724ea00d8f1ac9a6c5350e3bb749e75986837e4e0694500000000000f708000000000000ffffffff
51,19905,66127,-0.065695369,1.733451382,-1.912974463,0.179840157,1.053402485,-2.946047365,0.245535525,-0.680048897,-1.033072903,1.260949570,"(8, 156, 33, 6)","(188, 37, 22, 3)",5c401209,03010000,3217037073,15387e38c53cbd593a0edd37089c21065c401209bc25160303010000fffffffffc43d53c1117c0bf,be4ce90c7718c1981a36173b2349025a368ffd480694500000000000f708000000000000ffffffff
52,19906,66128,-0.063977688,1.742472377,-1.698112194,0.160945667,1.036884313,-2.991398532,0.224923354,-0.705588064,-1.293286338,1.490313585,"(97, 112, 113, 6)","(116, 94, 40, 5)",5d442206,00000000,3356105545,3a3812395244075a51fd0b7a617071065d442206745e280500000000ffffffffbe428d41491b0ac8,274bda0bdf1641966236183b9948165a212fad470694500000000000f708000000000000ffffffff
53,19907,66129,-0.064627621,1.735401868,-1.736905227,0.153425009,1.193349807,-3.109556106,0.218052631,-0.542052061,-1.372650880,1.491823657,"(103, 136, 193, 5)","(131, 82, 24, 17)",08840109,01000000,3512473419,2c389e38f542cd592fd94e6d6788c105088401098352181101000000ffffffff31443b3b4b175cd1,854ae115b8125816ae36993b62484e5a7bc76d752518000000000000a45b000000000000fffffdff
54,19908,66130,-0.063420602,1.742655235,-1.694110621,0.165355928,1.186157392,-3.072986170,0.228776530,-0.556497842,-1.378875550,1.504435552,"(97, 112, 113, 6)","(119, 100, 24, 12)",5d442206,00000000,2979601438,463815397644065ad6ec8a75617071065d4422067764180c00000000ffffffffd93fed431e1c99b1,864b6b1501142cc06f36903bb9483d5ac25bde5625180000000000009d62000000000000fffffeff
55,19909,66131,-0.065881064,1.733939004,-1.875959907,0.164705995,1.210599412,-3.054089851,0.230587059,-0.523339592,-1.178129944,1.309597222,"(8, 156, 33, 6)","(186, 39, 24, 3)",5c401209,02000000,3111459893,11388638123ebf594bfa9c37089c21065c401209ba27180302000000fffffffff3413542351c75b9,784bfc16ab1488044c369c3bb548355ab6767a7c2518000000000000a35c000000000000fffffdff
56,19910,66132,-0.064720469,1.733939004,-1.767472802,0.143583162,1.161044894,-3.090882097,0.208303631,-0.572894110,-1.323409294,1.457055326,"(103, 136, 129, 0)","(95, 89, 59, 11)",5c401206,01000000,3405256798,2a388638e241c059b3217d78678881005c4012065f593b0b01000000ffffffff5244b93c5e18f8ca,b149cf136013f7b0a336813b1a48455ae18f1f5725180000000000008877000000000000fffffeff
57,19911,66133,-0.063559873,1.740765702,-1.691665215,0.148364814,1.179818315,-3.084657427,0.211924688,-0.560947387,-1.392992212,1.516575533,"(92, 132, 113, 6)","(110, 73, 68, 2)",5d881109,01000000,3205962237,4338f6388c44f759dbdc89785c8471065d8811096e49440201000000ffffffff62417d3ffd1917bf,184a0315981358c18e36903b3d48435af39b8f5e25180000000000009669000000000000fffffeff
58,19912,66134,-0.064813316,1.737779022,-1.789259147,0.156674676,1.177075445,-3.102108733,0.221487992,-0.560703576,-1.312849586,1.444652023,"(103, 112, 33, 6)","(169, 57, 16, 10)",61448200,01010000,4026016306,2838c5381e41e15922310d766770210661448200a939100a01010000ffffffffa9587a273222f8ef,cb4ad614fb12bdb5a736903b7a484b5af8e3ef1a25180000000000009f60000000000000fffffdff
59,19913,66135,-0.040023002,1.738327596,-1.463130904,0.172319500,1.193593618,-3.056757567,0.212342502,-0.544733978,-1.593626663,1.697489436,"(118, 208, 33, 7)","(132, 41, 31, 30)",75c4c107,0d090000,3151044293,3e3ace38944c915972d1fc4a76d0210775c4c10784291f1e0d090000fffffeff90414844c51ed1bb,1c4ce5159314aec35336913bec48365ae1b3df5e25180000000000009f60000000000000fffffeff
60,19914,66136,-0.064859740,1.730098986,-1.782367548,0.159413681,1.167749687,-3.053422922,0.224273421,-0.562349298,-1.271055374,1.407876793,"(8, 136, 113, 6)","(248, 4, 2, 0)",5c400206,00000000,3366328857,273847385c419b59183efd37088871065c400206f804020000000000ffffffffb244023f191aa6c8,064b3d14b1144bb964367f3b8e48345ad01f7f572518000000000000837c000000000000fffffeff
61,19915,66137,-0.063559873,1.737657116,-1.684440151,0.190656904,1.214561335,-3.004514801,0.254216778,-0.523095781,-1.320074649,1.442516013,"(103, 112, 33, 6)","(122, 96, 27, 9)",61201009,00000000,3317308787,4338c338cd44df59f6d4d87a67702106612010097a601b0900000000ffffffff24427f43731dbac5,a74d3d17691684d3f9358e3b72491f5ab64b7f6425180000000000009a65000000000000fffffdff
62,19916,66138,-0.064720469,1.731988518,-1.760136584,0.213961656,1.273990184,-2.909477429,0.278682125,-0.457998334,-1.149340845,1.268231280,"(8, 136, 113, 6)","(207, 26, 18, 3)",5c400206,00000000,3396082526,2a3866382442ad595ea5bd74088871065c400206cf1a120300000000ffffffff0e453d405e1b6cca,9d4f0c1bc01914ca4b35903b1d4af459bee73f640694800000000000827d000000000000fffffdff
63,19917,66139,-0.063467026,1.735584726,-1.677548553,0.205651795,1.259483450,-2.925706033,0.269118820,-0.476101276,-1.248157481,1.362715840,"(103, 136, 193, 5)","(104, 89, 56, 4)",08840106,01000000,3252887889,4538a1380b45cc590b4d397b6788c105088401066859380401000000ffffffff57433a455121e3c1,ea4e1e1a2e19decb6d35903be049fb59aeb3af610694800000000000817e000000000000fffffdff
64,19918,66140,-0.063977688,1.726380873,-1.713785024,0.208437223,1.282950226,-2.924149866,0.272414911,-0.443430647,-1.210364842,1.317506612,"(8, 136, 129, 6)","(254, 1, 0, 0)",609cc105,00000000,3318750883,3a380a38c5437759b7151c7b08888106609cc105fe01000000000000ffffffff8645f142a31ed0c5,264f9f1b3c19b8f45735993bf449fb590b5bec732518800000000000827d000000000000fffffdff
65,19919,66141,-0.063188483,1.730403749,-1.668545012,0.202587823,1.264664427,-2.937377289,0.265776306,-0.465739322,-1.268832277,1.377492471,"(8, 136, 113, 6)","(197, 46, 6, 4)",5c808106,02010000,3317374284,4b384c385c459e594b5d3a7c088871065c808106c52e060402010000ffffffff014535424c1dbbc5,a84e731ac51850f27835983bca49015a2ac31c742518800000000000827d000000000000fffffdff
66,19920,66142,-0.063467026,1.732354234,-1.678548946,0.189728428,1.256923438,-2.967500246,0.253195454,-0.475430796,-1.288951300,1.396974528,"(98, 32, 112, 6)","(123, 69, 43, 19)",5c808106,01000000,3061785019,45386c380245b0596f2d4a7d622070065c8081067b452b1301000000ffffffffeb3f5647bb217fb6,934df419b6171003a8359d3b6c490e5a97b6697a25188000000000008b74000000000000fffffdff
